tr_key,file,line
Regeneration Time,modules/modules/game_skills/skills.otui,104
Stamina,modules/modules/game_skills/skills.otui,110
Offline Training,modules/modules/game_skills/skills.otui,117
Magic Level,modules/modules/game_skills/skills.otui,124
Fist Fighting,modules/modules/game_skills/skills.otui,132
Club Fighting,modules/modules/game_skills/skills.otui,139
Sword Fighting,modules/modules/game_skills/skills.otui,146
Axe Fighting,modules/modules/game_skills/skills.otui,153
Distance Fighting,modules/modules/game_skills/skills.otui,160
Shielding,modules/modules/game_skills/skills.otui,167
Fishing,modules/modules/game_skills/skills.otui,174
Critical Hit Chance,modules/modules/game_skills/skills.otui,181
Critical Hit Damage,modules/modules/game_skills/skills.otui,187
Life Leech Chance,modules/modules/game_skills/skills.otui,193
Life Leech Amount,modules/modules/game_skills/skills.otui,199
Mana Leech Chance,modules/modules/game_skills/skills.otui,205
Mana Leech Amount,modules/modules/game_skills/skills.otui,211
Spell List,modules/modules/game_spelllist/spelllist.lua,104
Spell List,modules/modules/game_spelllist/spelllist.otui,41
Close,modules/modules/game_spelllist/spelllist.otui,58
Name,modules/modules/game_spelllist/spelllist.otui,76
Filters,modules/modules/game_spelllist/spelllist.otui,81
Level,modules/modules/game_spelllist/spelllist.otui,86
Hide spells for higher exp. levels,modules/modules/game_spelllist/spelllist.otui,87
Vocation,modules/modules/game_spelllist/spelllist.otui,91
Hide spells for other vocations,modules/modules/game_spelllist/spelllist.otui,92
Formula,modules/modules/game_spelllist/spelllist.otui,98
Vocation,modules/modules/game_spelllist/spelllist.otui,105
Group,modules/modules/game_spelllist/spelllist.otui,111
Type,modules/modules/game_spelllist/spelllist.otui,117
Cooldown,modules/modules/game_spelllist/spelllist.otui,123
Level,modules/modules/game_spelllist/spelllist.otui,129
Mana,modules/modules/game_spelllist/spelllist.otui,135
Soul,modules/modules/game_spelllist/spelllist.otui,135
Premium,modules/modules/game_spelllist/spelllist.otui,141
Description,modules/modules/game_spelllist/spelllist.otui,147
Vocation,modules/modules/game_spelllist/spelllist.otui,205
Any,modules/modules/game_spelllist/spelllist.otui,215
Sorcerer,modules/modules/game_spelllist/spelllist.otui,223
Druid,modules/modules/game_spelllist/spelllist.otui,231
Paladin,modules/modules/game_spelllist/spelllist.otui,239
Knight,modules/modules/game_spelllist/spelllist.otui,247
Group,modules/modules/game_spelllist/spelllist.otui,256
Any,modules/modules/game_spelllist/spelllist.otui,266
Attack,modules/modules/game_spelllist/spelllist.otui,274
Healing,modules/modules/game_spelllist/spelllist.otui,282
Support,modules/modules/game_spelllist/spelllist.otui,290
Premium,modules/modules/game_spelllist/spelllist.otui,299
Any,modules/modules/game_spelllist/spelllist.otui,309
No,modules/modules/game_spelllist/spelllist.otui,317
Yes,modules/modules/game_spelllist/spelllist.otui,325
There is no way.,modules/modules/game_textmessage/textmessage.lua,134
It is empty.,modules/modules/game_textwindow/textwindow.lua,59
You can enter new text.,modules/modules/game_textwindow/textwindow.lua,61
Show Text,modules/modules/game_textwindow/textwindow.lua,70
Edit Text,modules/modules/game_textwindow/textwindow.lua,75
Enter one name per line.,modules/modules/game_textwindow/textwindow.lua,122
Edit List,modules/modules/game_textwindow/textwindow.lua,123
Ok,modules/modules/game_textwindow/textwindow.otui,42
Cancel,modules/modules/game_textwindow/textwindow.otui,50
Error,modules/modules/game_things/things.lua,48
You are poisoned,modules/modules/game_topbar/topbar.lua,3
You are burning,modules/modules/game_topbar/topbar.lua,8
You are electrified,modules/modules/game_topbar/topbar.lua,13
You are drunk,modules/modules/game_topbar/topbar.lua,18
You are protected by a magic shield,modules/modules/game_topbar/topbar.lua,23
You are paralysed,modules/modules/game_topbar/topbar.lua,28
You are hasted,modules/modules/game_topbar/topbar.lua,33
You may not logout during a fight,modules/modules/game_topbar/topbar.lua,38
You are drowning,modules/modules/game_topbar/topbar.lua,43
You are freezing,modules/modules/game_topbar/topbar.lua,48
You are dazzled,modules/modules/game_topbar/topbar.lua,53
You are cursed,modules/modules/game_topbar/topbar.lua,58
You are strengthened,modules/modules/game_topbar/topbar.lua,63
You may not logout or enter a protection zone,modules/modules/game_topbar/topbar.lua,68
You are within a protection zone,modules/modules/game_topbar/topbar.lua,73
You are bleeding,modules/modules/game_topbar/topbar.lua,78
You are hungry,modules/modules/game_topbar/topbar.lua,83
Unjustified Points,modules/modules/game_unjustifiedpoints/unjustifiedpoints.lua,24
Unjustified Points,modules/modules/game_unjustifiedpoints/unjustifiedpoints.otui,16
Open PvP,modules/modules/game_unjustifiedpoints/unjustifiedpoints.otui,27
Open PvP Situations,modules/modules/game_unjustifiedpoints/unjustifiedpoints.otui,28
Skull Time,modules/modules/game_unjustifiedpoints/unjustifiedpoints.otui,44
Add to VIP list,modules/modules/game_viplist/addvip.otui,3
Please enter a character name:,modules/modules/game_viplist/addvip.otui,8
Ok,modules/modules/game_viplist/addvip.otui,27
Cancel,modules/modules/game_viplist/addvip.otui,35
Edit VIP list entry,modules/modules/game_viplist/editvip.otui,30
Description,modules/modules/game_viplist/editvip.otui,41
Notify-Login,modules/modules/game_viplist/editvip.otui,56
Ok,modules/modules/game_viplist/editvip.otui,127
Cancel,modules/modules/game_viplist/editvip.otui,135
VIP List,modules/modules/game_viplist/viplist.lua,16
Add new VIP,modules/modules/game_viplist/viplist.lua,363
Hide Offline,modules/modules/game_viplist/viplist.lua,367
Show Offline,modules/modules/game_viplist/viplist.lua,369
Sort by name,modules/modules/game_viplist/viplist.lua,373
Sort by status,modules/modules/game_viplist/viplist.lua,377
Sort by type,modules/modules/game_viplist/viplist.lua,381
Send Message,modules/modules/game_viplist/viplist.lua,396
Add new VIP,modules/modules/game_viplist/viplist.lua,397
Copy Name,modules/modules/game_viplist/viplist.lua,401
Invite to private chat,modules/modules/game_viplist/viplist.lua,405
Exclude from private chat,modules/modules/game_viplist/viplist.lua,406
Hide Offline,modules/modules/game_viplist/viplist.lua,410
Show Offline,modules/modules/game_viplist/viplist.lua,412
Sort by name,modules/modules/game_viplist/viplist.lua,416
Sort by status,modules/modules/game_viplist/viplist.lua,420
VIP List,modules/modules/game_viplist/viplist.otui,15
Updating client (may take few seconds),modules/modules/updater/updater.lua,175
Timeout,modules/modules/updater/updater.lua,234
Updater Error,modules/modules/updater/updater.lua,261
Updater,modules/modules/updater/updater.otui,3
Checking for updates,modules/modules/updater/updater.otui,12
Change updater URL,modules/modules/updater/updater.otui,43
Cancel,modules/modules/updater/updater.otui,51
"Disable chat mode, allow to walk using ASDW",layouts/layouts/mobile/styles/40-console.otui,73
Close this channel,layouts/layouts/mobile/styles/40-console.otui,101
Clear current message window,layouts/layouts/mobile/styles/40-console.otui,110
Open new channel,layouts/layouts/mobile/styles/40-console.otui,120
Ignore players,layouts/layouts/mobile/styles/40-console.otui,128
Adjust volume,layouts/layouts/mobile/styles/40-console.otui,147
Open purse,layouts/layouts/mobile/styles/40-inventory.otui,78
Stop,layouts/layouts/mobile/styles/40-inventory.otui,286
Options,layouts/layouts/mobile/styles/40-inventory.otui,290
Quests,layouts/layouts/mobile/styles/40-inventory.otui,294
Logout,layouts/layouts/mobile/styles/40-inventory.otui,298
"Disable chat mode, allow to walk using ASDW",layouts/layouts/retro/styles/40-console.otui,74
Close this channel,layouts/layouts/retro/styles/40-console.otui,109
Clear current message window,layouts/layouts/retro/styles/40-console.otui,126
Open new channel,layouts/layouts/retro/styles/40-console.otui,144
Ignore players,layouts/layouts/retro/styles/40-console.otui,160
Adjust volume,layouts/layouts/retro/styles/40-console.otui,191
Enter Game,layouts/layouts/retro/styles/40-entergame.otui,2
Health Info,layouts/layouts/retro/styles/40-healthinfo.otui,115
Open purse,layouts/layouts/retro/styles/40-inventory.otui,78
Stop,layouts/layouts/retro/styles/40-inventory.otui,319
Options,layouts/layouts/retro/styles/40-inventory.otui,323
Hotkeys,layouts/layouts/retro/styles/40-inventory.otui,327
Logout,layouts/layouts/retro/styles/40-inventory.otui,331
Center,layouts/layouts/retro/styles/40-minimap.otui,56
Create Map Mark,layouts/layouts/retro/styles/40-minimap.otui,113
Position,layouts/layouts/retro/styles/40-minimap.otui,117
Description,layouts/layouts/retro/styles/40-minimap.otui,131
Ok,layouts/layouts/retro/styles/40-minimap.otui,233
Cancel,layouts/layouts/retro/styles/40-minimap.otui,241
