widget,prop,value,file,line
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/analyzer.otui,144
count,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/analyzer.otui,166
nan,image-source,/images/ui/graph_background,modules/modules/game_bot/default_configs/vBot_4.7/vBot/analyzer.otui,178
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/analyzer.otui,178
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/analyzer.otui,200
MainAnalyzerWindow,icon,/images/topbuttons/analyzers,modules/modules/game_bot/default_configs/vBot_4.7/vBot/analyzer.otui,206
HuntingAnalyzerWindow,icon,/images/topbuttons/analyzers,modules/modules/game_bot/default_configs/vBot_4.7/vBot/analyzer.otui,262
LootAnalyzerWindow,icon,/images/topbuttons/analyzers,modules/modules/game_bot/default_configs/vBot_4.7/vBot/analyzer.otui,271
SupplyAnalyzerWindow,icon,/images/topbuttons/analyzers,modules/modules/game_bot/default_configs/vBot_4.7/vBot/analyzer.otui,280
ImpactAnalyzerWindow,icon,/images/topbuttons/analyzers,modules/modules/game_bot/default_configs/vBot_4.7/vBot/analyzer.otui,289
XPAnalyzerWindow,icon,/images/topbuttons/analyzers,modules/modules/game_bot/default_configs/vBot_4.7/vBot/analyzer.otui,298
PartyAnalyzerWindow,icon,/images/topbuttons/analyzers,modules/modules/game_bot/default_configs/vBot_4.7/vBot/analyzer.otui,308
DropTracker,icon,/images/topbuttons/analyzers,modules/modules/game_bot/default_configs/vBot_4.7/vBot/analyzer.otui,320
CaveBotStats,icon,/images/topbuttons/analyzers,modules/modules/game_bot/default_configs/vBot_4.7/vBot/analyzer.otui,332
addItem,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/analyzer.otui,387
LootChannel,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/analyzer.otui,409
RarityFrames,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/analyzer.otui,419
closeButton,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.7/vBot/analyzer.otui,435
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,1
spell,image-source,/images/game/dangerous,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,26
name,background,#292A2A,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,106
nan,image-source,/images/ui/panel_flat,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,117
description,background,#363636,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,123
description,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,123
nan,image-source,/images/ui/panel_flat,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,131
description,background,#363636,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,137
description,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,137
nan,image-source,/images/ui/panel_flat,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,145
description,background,#363636,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,151
description,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,151
