widget,prop,value,file,line
nan,image-source,/images/ui/window,modules/modules/game_bot/default_configs/vBot_4.7/vBot/new_healer.otui,347
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/new_healer.otui,353
closeButton,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.7/vBot/new_healer.otui,406
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/playerlist.otui,1
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/playerlist.otui,24
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/playerlist.otui,35
add,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/playerlist.otui,90
closeButton,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.7/vBot/playerlist.otui,142
closeButton,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.7/vBot/pushmax.otui,77
nan,image-source,/images/ui/panel_flat,modules/modules/game_bot/default_configs/vBot_4.7/vBot/siolist.otui,1
closeButton,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.7/vBot/siolist.otui,184
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/supplies.otui,1
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/supplies.otui,58
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/supplies.otui,67
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.7/vBot/supplies.otui,76
newProfile,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.7/vBot/supplies.otui,184
closeButton,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.7/vBot/supplies.otui,218
tick,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/alarms.otui,5
tick,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/alarms.otui,17
tick,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/alarms.otui,44
text,font,terminus-10px,modules/modules/game_bot/default_configs/vBot_4.8/vBot/alarms.otui,53
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/alarms.otui,92
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/alarms.otui,101
bottomResizeBorder,background,#ffffff88,modules/modules/game_bot/default_configs/vBot_4.8/vBot/alarms.otui,117
closeButton,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.8/vBot/alarms.otui,127
name,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/analyzer.otui,12
cooldown,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/analyzer.otui,25
name,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/analyzer.otui,62
drops,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/analyzer.otui,75
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/analyzer.otui,88
value,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/analyzer.otui,95
name,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/analyzer.otui,116
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/analyzer.otui,195
count,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/analyzer.otui,217
nan,image-source,/images/ui/graph_background,modules/modules/game_bot/default_configs/vBot_4.8/vBot/analyzer.otui,229
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/analyzer.otui,229
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/analyzer.otui,251
MainAnalyzerWindow,icon,/images/topbuttons/analyzers,modules/modules/game_bot/default_configs/vBot_4.8/vBot/analyzer.otui,257
HuntingAnalyzerWindow,icon,/images/topbuttons/analyzers,modules/modules/game_bot/default_configs/vBot_4.8/vBot/analyzer.otui,318
LootAnalyzerWindow,icon,/images/topbuttons/analyzers,modules/modules/game_bot/default_configs/vBot_4.8/vBot/analyzer.otui,327
SupplyAnalyzerWindow,icon,/images/topbuttons/analyzers,modules/modules/game_bot/default_configs/vBot_4.8/vBot/analyzer.otui,336
ImpactAnalyzerWindow,icon,/images/topbuttons/analyzers,modules/modules/game_bot/default_configs/vBot_4.8/vBot/analyzer.otui,345
XPAnalyzerWindow,icon,/images/topbuttons/analyzers,modules/modules/game_bot/default_configs/vBot_4.8/vBot/analyzer.otui,354
PartyAnalyzerWindow,icon,/images/topbuttons/analyzers,modules/modules/game_bot/default_configs/vBot_4.8/vBot/analyzer.otui,364
DropTracker,icon,/images/topbuttons/analyzers,modules/modules/game_bot/default_configs/vBot_4.8/vBot/analyzer.otui,376
CaveBotStats,icon,/images/topbuttons/analyzers,modules/modules/game_bot/default_configs/vBot_4.8/vBot/analyzer.otui,388
BossTracker,icon,/images/topbuttons/analyzers,modules/modules/game_bot/default_configs/vBot_4.8/vBot/analyzer.otui,400
addItem,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/analyzer.otui,458
LootChannel,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/analyzer.otui,480
RarityFrames,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/analyzer.otui,490
closeButton,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.8/vBot/analyzer.otui,506
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/AttackBot.otui,1
spell,image-source,/images/game/dangerous,modules/modules/game_bot/default_configs/vBot_4.8/vBot/AttackBot.otui,26
name,background,#292A2A,modules/modules/game_bot/default_configs/vBot_4.8/vBot/AttackBot.otui,106
nan,image-source,/images/ui/panel_flat,modules/modules/game_bot/default_configs/vBot_4.8/vBot/AttackBot.otui,117
description,background,#363636,modules/modules/game_bot/default_configs/vBot_4.8/vBot/AttackBot.otui,123
description,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/AttackBot.otui,123
nan,image-source,/images/ui/panel_flat,modules/modules/game_bot/default_configs/vBot_4.8/vBot/AttackBot.otui,131
description,background,#363636,modules/modules/game_bot/default_configs/vBot_4.8/vBot/AttackBot.otui,137
description,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/AttackBot.otui,137
nan,image-source,/images/ui/panel_flat,modules/modules/game_bot/default_configs/vBot_4.8/vBot/AttackBot.otui,145
description,background,#363636,modules/modules/game_bot/default_configs/vBot_4.8/vBot/AttackBot.otui,151
description,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/AttackBot.otui,151
nan,background,#363636,modules/modules/game_bot/default_configs/vBot_4.8/vBot/AttackBot.otui,159
nan,background,#363636,modules/modules/game_bot/default_configs/vBot_4.8/vBot/AttackBot.otui,163
nan,image-source,/images/ui/panel_flat,modules/modules/game_bot/default_configs/vBot_4.8/vBot/AttackBot.otui,167
monsters,background,#363636,modules/modules/game_bot/default_configs/vBot_4.8/vBot/AttackBot.otui,248
monsters,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.8/vBot/AttackBot.otui,248
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/AttackBot.otui,258
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/AttackBot.otui,279
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/AttackBot.otui,305
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/AttackBot.otui,324
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/AttackBot.otui,343
up,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.8/vBot/AttackBot.otui,363
down,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.8/vBot/AttackBot.otui,374
addEntry,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.8/vBot/AttackBot.otui,384
spellName,background,#363636,modules/modules/game_bot/default_configs/vBot_4.8/vBot/AttackBot.otui,401
spellName,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.8/vBot/AttackBot.otui,401
nan,image-source,/images/ui/panel_flat,modules/modules/game_bot/default_configs/vBot_4.8/vBot/AttackBot.otui,413
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/AttackBot.otui,427
mainLabel,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/AttackBot.otui,558
settingsLabel,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/AttackBot.otui,577
shooterLabel,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/AttackBot.otui,594
closeButton,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.8/vBot/AttackBot.otui,610
settings,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.8/vBot/AttackBot.otui,618
nan,image-source,/images/ui/window,modules/modules/game_bot/default_configs/vBot_4.8/vBot/BotServer.otui,1
nan,image-source,/images/ui/panel_flat,modules/modules/game_bot/default_configs/vBot_4.8/vBot/BotServer.otui,78
closeButton,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.8/vBot/BotServer.otui,181
trigger,image-source,/images/ui/panel_flat,modules/modules/game_bot/default_configs/vBot_4.8/vBot/combo.otui,17
onSayLeader,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.8/vBot/combo.otui,40
onSayPhrase,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.8/vBot/combo.otui,56
onShootLeader,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.8/vBot/combo.otui,87
onCastLeader,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.8/vBot/combo.otui,119
actions,image-source,/images/ui/panel_flat,modules/modules/game_bot/default_configs/vBot_4.8/vBot/combo.otui,136
followLeader,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.8/vBot/combo.otui,153
attackLeaderTarget,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.8/vBot/combo.otui,177
attackSpell,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.8/vBot/combo.otui,201
server,image-source,/images/ui/panel_flat,modules/modules/game_bot/default_configs/vBot_4.8/vBot/combo.otui,249
botServerLeader,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.8/vBot/combo.otui,266
closeButton,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.8/vBot/combo.otui,373
toolsButton,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.8/vBot/combo.otui,383
Cure,image-source,/images/ui/panel_flat,modules/modules/game_bot/default_configs/vBot_4.8/vBot/Conditions.otui,8
label1,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/Conditions.otui,15
label11,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/Conditions.otui,25
PoisonCost,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/Conditions.otui,33
label2,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/Conditions.otui,47
label22,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/Conditions.otui,56
CurseCost,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/Conditions.otui,64
label3,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/Conditions.otui,78
label33,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/Conditions.otui,87
BleedCost,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/Conditions.otui,95
label4,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/Conditions.otui,109
label44,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/Conditions.otui,118
BurnCost,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/Conditions.otui,126
label5,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/Conditions.otui,140
label55,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/Conditions.otui,149
ElectrifyCost,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/Conditions.otui,157
label6,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/Conditions.otui,171
label66,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/Conditions.otui,180
ParalyseCost,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/Conditions.otui,188
label7,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/Conditions.otui,202
ParalyseSpell,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/Conditions.otui,211
Hold,image-source,/images/ui/panel_flat,modules/modules/game_bot/default_configs/vBot_4.8/vBot/Conditions.otui,219
label1,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/Conditions.otui,226
label11,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/Conditions.otui,236
HasteCost,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/Conditions.otui,244
label2,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/Conditions.otui,258
HasteSpell,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/Conditions.otui,267
label3,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/Conditions.otui,275
label33,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/Conditions.otui,284
UtanaCost,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/Conditions.otui,292
label4,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/Conditions.otui,306
label44,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/Conditions.otui,315
UtamoCost,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/Conditions.otui,323
label5,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/Conditions.otui,337
label55,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/Conditions.otui,346
UturaCost,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/Conditions.otui,354
label6,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/Conditions.otui,368
UturaType,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/Conditions.otui,377
nan,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.8/vBot/Conditions.otui,391
nan,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.8/vBot/Conditions.otui,405
label,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/Conditions.otui,424
label,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/Conditions.otui,439
closeButton,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.8/vBot/Conditions.otui,455
name,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/depositer_config.otui,10
slot,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/depositer_config.otui,23
title,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/depositer_config.otui,40
DepositerList,image-source,/images/ui/panel_flat,modules/modules/game_bot/default_configs/vBot_4.8/vBot/depositer_config.otui,50
bottomResizeBorder,background,#ffffff88,modules/modules/game_bot/default_configs/vBot_4.8/vBot/depositer_config.otui,74
CloseButton,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.8/vBot/depositer_config.otui,91
nan,image-source,/images/ui/item,modules/modules/game_bot/default_configs/vBot_4.8/vBot/equipper.otui,1
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/equipper.otui,9
nan,background,#363636,modules/modules/game_bot/default_configs/vBot_4.8/vBot/equipper.otui,40
nan,background,#363636,modules/modules/game_bot/default_configs/vBot_4.8/vBot/equipper.otui,44
text,background,#363636,modules/modules/game_bot/default_configs/vBot_4.8/vBot/equipper.otui,52
text,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/equipper.otui,52
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/equipper.otui,59
title,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/equipper.otui,155
mainLabel,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/equipper.otui,163
up,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.8/vBot/equipper.otui,191
down,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.8/vBot/equipper.otui,202
title,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/equipper.otui,219
mainLabel,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/equipper.otui,227
title,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/equipper.otui,288
head,image-source,/images/ui/item,modules/modules/game_bot/default_configs/vBot_4.8/vBot/equipper.otui,296
body,image-source,/images/ui/item,modules/modules/game_bot/default_configs/vBot_4.8/vBot/equipper.otui,305
legs,image-source,/images/ui/item,modules/modules/game_bot/default_configs/vBot_4.8/vBot/equipper.otui,314
feet,image-source,/images/ui/item,modules/modules/game_bot/default_configs/vBot_4.8/vBot/equipper.otui,323
neck,image-source,/images/ui/item,modules/modules/game_bot/default_configs/vBot_4.8/vBot/equipper.otui,332
left-hand,image-source,/images/ui/item,modules/modules/game_bot/default_configs/vBot_4.8/vBot/equipper.otui,342
finger,image-source,/images/ui/item,modules/modules/game_bot/default_configs/vBot_4.8/vBot/equipper.otui,351
back,image-source,/images/game/slots/back-blessed,modules/modules/game_bot/default_configs/vBot_4.8/vBot/equipper.otui,360
right-hand,image-source,/images/ui/item,modules/modules/game_bot/default_configs/vBot_4.8/vBot/equipper.otui,369
ammo,image-source,/images/game/slots/ammo,modules/modules/game_bot/default_configs/vBot_4.8/vBot/equipper.otui,378
cloneEq,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/equipper.otui,385
default,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/equipper.otui,395
title,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/equipper.otui,408
title,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/equipper.otui,428
add,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/equipper.otui,459
closeButton,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.8/vBot/equipper.otui,525
bossList,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.8/vBot/equipper.otui,533
bottomResizeBorder,background,#ffffff88,modules/modules/game_bot/default_configs/vBot_4.8/vBot/extras.otui,141
closeButton,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.8/vBot/extras.otui,151
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/HealBot.otui,1
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/HealBot.otui,25
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/HealBot.otui,53
title,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/HealBot.otui,92
spellSource,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/HealBot.otui,101
whenSpell,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/HealBot.otui,109
isSpell,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/HealBot.otui,117
spellCondition,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/HealBot.otui,126
spellValue,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/HealBot.otui,134
castSpell,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/HealBot.otui,142
spellFormula,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/HealBot.otui,150
manaSpell,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/HealBot.otui,157
manaCost,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/HealBot.otui,165
addSpell,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.8/vBot/HealBot.otui,193
MoveUp,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.8/vBot/HealBot.otui,201
MoveDown,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.8/vBot/HealBot.otui,210
title,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/HealBot.otui,222
itemSource,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/HealBot.otui,231
whenItem,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/HealBot.otui,239
isItem,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/HealBot.otui,247
itemCondition,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/HealBot.otui,256
itemValue,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/HealBot.otui,264
useItem,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/HealBot.otui,272
addItem,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.8/vBot/HealBot.otui,306
MoveUp,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.8/vBot/HealBot.otui,314
MoveDown,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.8/vBot/HealBot.otui,323
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/HealBot.otui,361
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/HealBot.otui,407
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/HealBot.otui,420
title,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/HealBot.otui,449
closeButton,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.8/vBot/HealBot.otui,477
settingsButton,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.8/vBot/HealBot.otui,486
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/new_healer.otui,1
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/new_healer.otui,44
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/new_healer.otui,50
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/new_healer.otui,71
nan,image-source,/images/ui/window,modules/modules/game_bot/default_configs/vBot_4.8/vBot/new_healer.otui,108
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/new_healer.otui,114
title,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/new_healer.otui,183
nan,image-source,/images/ui/window,modules/modules/game_bot/default_configs/vBot_4.8/vBot/new_healer.otui,224
title,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/new_healer.otui,231
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/new_healer.otui,251
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/new_healer.otui,278
name,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/new_healer.otui,285
add,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/new_healer.otui,295
nan,image-source,/images/ui/window,modules/modules/game_bot/default_configs/vBot_4.8/vBot/new_healer.otui,321
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/new_healer.otui,328
nan,image-source,/images/ui/window,modules/modules/game_bot/default_configs/vBot_4.8/vBot/new_healer.otui,347
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/new_healer.otui,353
closeButton,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.8/vBot/new_healer.otui,406
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/playerlist.otui,1
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/playerlist.otui,24
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/playerlist.otui,35
add,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/playerlist.otui,90
closeButton,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.8/vBot/playerlist.otui,142
closeButton,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.8/vBot/pushmax.otui,77
nan,image-source,/images/ui/panel_flat,modules/modules/game_bot/default_configs/vBot_4.8/vBot/siolist.otui,1
closeButton,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.8/vBot/siolist.otui,184
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/supplies.otui,1
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/supplies.otui,58
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/supplies.otui,67
nan,font,verdana-11px-rounded,modules/modules/game_bot/default_configs/vBot_4.8/vBot/supplies.otui,76
newProfile,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.8/vBot/supplies.otui,184
closeButton,font,cipsoftFont,modules/modules/game_bot/default_configs/vBot_4.8/vBot/supplies.otui,218
status,background,red,modules/modules/game_bot/ui/icons.otui,26
status,font,terminus-10px,modules/modules/game_bot/ui/icons.otui,26
left,font,verdana-11px-rounded,modules/modules/game_bot/ui/panels.otui,245
right,font,verdana-11px-rounded,modules/modules/game_bot/ui/panels.otui,256
buttons,icon,/images/topbuttons/buttons,modules/modules/game_buttons/buttons.otui,1
nan,font,verdana-11px-monochrome,modules/modules/game_console/channelswindow.otui,1
nan,font,verdana-11px-monochrome,modules/modules/game_console/communicationwindow.otui,1
nan,font,verdana-11px-monochrome,modules/modules/game_console/communicationwindow.otui,12
nan,image-source,/images/game/spells/cooldowns,modules/modules/game_cooldown/cooldown.otui,1
nan,background,#585858AA,modules/modules/game_cooldown/cooldown.otui,16
cooldownWindow,icon,/images/topbuttons/cooldowns,modules/modules/game_cooldown/cooldown.otui,24
nan,font,verdana-11px-monochrome,modules/modules/game_hotkeys/hotkeys_manager.otui,1
protection,image-source,/images/game/imbuing/100percent,modules/modules/game_imbuing/imbuing.otui,165
horizontalArrow,image-source,/images/ui/arrow_horizontal,modules/modules/game_imbuing/imbuing.otui,184
