widget_or_type,file,line,anchor
timeLabel,modules/modules/client_entergame/waitinglist.otui,24,:ref:`modules-modules-client-entergame-waitinglist-otui-l24-timelabel-049e41914b`
separator,modules/modules/client_entergame/waitinglist.otui,31,:ref:`modules-modules-client-entergame-waitinglist-otui-l31-separator-7cf1ae5a9e`
buttonCancel,modules/modules/client_entergame/waitinglist.otui,38,:ref:`modules-modules-client-entergame-waitinglist-otui-l38-buttoncanc-358d8503b5`
feedbackWindow,modules/modules/client_feedback/feedback.otui,1,:ref:`modules-modules-client-feedback-feedback-otui-l1-feedbackwindow-189fb43948`
description,modules/modules/client_feedback/feedback.otui,6,:ref:`modules-modules-client-feedback-feedback-otui-l6-description-42ac2cab2f`
text,modules/modules/client_feedback/feedback.otui,16,:ref:`modules-modules-client-feedback-feedback-otui-l16-text-d525645ac3`
textScroll,modules/modules/client_feedback/feedback.otui,25,:ref:`modules-modules-client-feedback-feedback-otui-l25-textscroll-d6050b8120`
okButton,modules/modules/client_feedback/feedback.otui,35,:ref:`modules-modules-client-feedback-feedback-otui-l35-okbutton-d91caa1584`
cancelButton,modules/modules/client_feedback/feedback.otui,43,:ref:`modules-modules-client-feedback-feedback-otui-l43-cancelbutton-78f3a2e8ad`
nan,modules/modules/client_locales/locales.otui,1,:ref:`modules-modules-client-locales-locales-otui-l1-nan-94a3e54a2f`
nan,modules/modules/client_locales/locales.otui,4,:ref:`modules-modules-client-locales-locales-otui-l4-nan-9c74cbb3bb`
localesWindow,modules/modules/client_locales/locales.otui,11,:ref:`modules-modules-client-locales-locales-otui-l11-localeswindow-7b8554469d`
nan,modules/modules/client_locales/locales.otui,18,:ref:`modules-modules-client-locales-locales-otui-l18-nan-66f4e5c71d`
localesPanel,modules/modules/client_locales/locales.otui,25,:ref:`modules-modules-client-locales-locales-otui-l25-localespanel-c79740ee42`
nan,modules/modules/client_mobile/mobile.otui,1,:ref:`modules-modules-client-mobile-mobile-otui-l1-nan-418248bb9f`
cursor,modules/modules/client_mobile/mobile.otui,6,:ref:`modules-modules-client-mobile-mobile-otui-l6-cursor-ffd1b18879`
keypad,modules/modules/client_mobile/mobile.otui,17,:ref:`modules-modules-client-mobile-mobile-otui-l17-keypad-47dedc48c3`
pointer,modules/modules/client_mobile/mobile.otui,30,:ref:`modules-modules-client-mobile-mobile-otui-l30-pointer-049333bee5`
nan,modules/modules/client_options/audio.otui,1,:ref:`modules-modules-client-options-audio-otui-l1-nan-b31bb43cd5`
enableAudio,modules/modules/client_options/audio.otui,2,:ref:`modules-modules-client-options-audio-otui-l2-enableaudio-c26fe4e1fc`
enableMusicSound,modules/modules/client_options/audio.otui,6,:ref:`modules-modules-client-options-audio-otui-l6-enablemusicsound-04c254015f`
musicSoundVolumeLabel,modules/modules/client_options/audio.otui,10,:ref:`modules-modules-client-options-audio-otui-l10-musicsoundvolumela-d693cb4f9e`
musicSoundVolume,modules/modules/client_options/audio.otui,18,:ref:`modules-modules-client-options-audio-otui-l18-musicsoundvolume-533b70ce09`
botSoundVolumeLabel,modules/modules/client_options/audio.otui,24,:ref:`modules-modules-client-options-audio-otui-l24-botsoundvolumelabe-29c9117038`
botSoundVolume,modules/modules/client_options/audio.otui,32,:ref:`modules-modules-client-options-audio-otui-l32-botsoundvolume-72f39ed5c2`
nan,modules/modules/client_options/console.otui,1,:ref:`modules-modules-client-options-console-otui-l1-nan-7f3e353208`
showInfoMessagesInConsole,modules/modules/client_options/console.otui,2,:ref:`modules-modules-client-options-console-otui-l2-showinfomessagesi-bb9a59d5da`
showEventMessagesInConsole,modules/modules/client_options/console.otui,6,:ref:`modules-modules-client-options-console-otui-l6-showeventmessages-bd6d09b242`
showStatusMessagesInConsole,modules/modules/client_options/console.otui,10,:ref:`modules-modules-client-options-console-otui-l10-showstatusmessag-a1aa7b30c1`
showTimestampsInConsole,modules/modules/client_options/console.otui,14,:ref:`modules-modules-client-options-console-otui-l14-showtimestampsin-ea895fac6e`
showLevelsInConsole,modules/modules/client_options/console.otui,18,:ref:`modules-modules-client-options-console-otui-l18-showlevelsincons-d313c387e5`
showPrivateMessagesInConsole,modules/modules/client_options/console.otui,22,:ref:`modules-modules-client-options-console-otui-l22-showprivatemessa-b2e74a78c1`
showPrivateMessagesOnScreen,modules/modules/client_options/console.otui,26,:ref:`modules-modules-client-options-console-otui-l26-showprivatemessa-3fb0767340`
nan,modules/modules/client_options/custom.otui,1,:ref:`modules-modules-client-options-custom-otui-l1-nan-60f2a862fc`
nan,modules/modules/client_options/custom.otui,2,:ref:`modules-modules-client-options-custom-otui-l2-nan-7f86a65468`
profile,modules/modules/client_options/custom.otui,5,:ref:`modules-modules-client-options-custom-otui-l5-profile-bbe3a5c713`
nan,modules/modules/client_options/custom.otui,21,:ref:`modules-modules-client-options-custom-otui-l21-nan-ca5698afa1`
topBar,modules/modules/client_options/custom.otui,23,:ref:`modules-modules-client-options-custom-otui-l23-topbar-ac5fcc925b`
topHealtManaBar,modules/modules/client_options/custom.otui,27,:ref:`modules-modules-client-options-custom-otui-l27-tophealtmanabar-91815ec38a`
showHealthManaCircle,modules/modules/client_options/custom.otui,31,:ref:`modules-modules-client-options-custom-otui-l31-showhealthmanacir-17c839aa3e`
nan,modules/modules/client_options/custom.otui,37,:ref:`modules-modules-client-options-custom-otui-l37-nan-e8466bc937`
nan,modules/modules/client_options/custom.otui,41,:ref:`modules-modules-client-options-custom-otui-l41-nan-a2e4f3d60d`
actionbar1,modules/modules/client_options/custom.otui,47,:ref:`modules-modules-client-options-custom-otui-l47-actionbar1-8ef41511b7`
actionbar2,modules/modules/client_options/custom.otui,52,:ref:`modules-modules-client-options-custom-otui-l52-actionbar2-36d5a1dca2`
actionbar3,modules/modules/client_options/custom.otui,57,:ref:`modules-modules-client-options-custom-otui-l57-actionbar3-d6aa62b977`
nan,modules/modules/client_options/custom.otui,62,:ref:`modules-modules-client-options-custom-otui-l62-nan-f48c374047`
nan,modules/modules/client_options/custom.otui,67,:ref:`modules-modules-client-options-custom-otui-l67-nan-0b8f6e1e38`
actionbar4,modules/modules/client_options/custom.otui,77,:ref:`modules-modules-client-options-custom-otui-l77-actionbar4-4b71f53e55`
actionbar5,modules/modules/client_options/custom.otui,82,:ref:`modules-modules-client-options-custom-otui-l82-actionbar5-5091079485`
actionbar6,modules/modules/client_options/custom.otui,87,:ref:`modules-modules-client-options-custom-otui-l87-actionbar6-a89a1c010f`
nan,modules/modules/client_options/custom.otui,92,:ref:`modules-modules-client-options-custom-otui-l92-nan-92962b6e40`
nan,modules/modules/client_options/custom.otui,97,:ref:`modules-modules-client-options-custom-otui-l97-nan-4e966adcfa`
actionbar7,modules/modules/client_options/custom.otui,106,:ref:`modules-modules-client-options-custom-otui-l106-actionbar7-d7a3f9e9ff`
actionbar8,modules/modules/client_options/custom.otui,111,:ref:`modules-modules-client-options-custom-otui-l111-actionbar8-a17e75bf52`
actionbar9,modules/modules/client_options/custom.otui,116,:ref:`modules-modules-client-options-custom-otui-l116-actionbar9-00bcd8fc9c`
nan,modules/modules/client_options/custom.otui,121,:ref:`modules-modules-client-options-custom-otui-l121-nan-659727d746`
actionbarLock,modules/modules/client_options/custom.otui,123,:ref:`modules-modules-client-options-custom-otui-l123-actionbarlock-f5c057acd8`
nan,modules/modules/client_options/game.otui,1,:ref:`modules-modules-client-options-game-otui-l1-nan-66c0e181d3`
classicControl,modules/modules/client_options/game.otui,2,:ref:`modules-modules-client-options-game-otui-l2-classiccontrol-064bd36951`
autoChaseOverride,modules/modules/client_options/game.otui,9,:ref:`modules-modules-client-options-game-otui-l9-autochaseoverride-105806268d`
displayText,modules/modules/client_options/game.otui,13,:ref:`modules-modules-client-options-game-otui-l13-displaytext-b48a6846c6`
wsadWalking,modules/modules/client_options/game.otui,17,:ref:`modules-modules-client-options-game-otui-l17-wsadwalking-44a5ce0ecf`
dash,modules/modules/client_options/game.otui,24,:ref:`modules-modules-client-options-game-otui-l24-dash-3dbf1be4e9`
smartWalk,modules/modules/client_options/game.otui,29,:ref:`modules-modules-client-options-game-otui-l29-smartwalk-4d05daa07c`
hotkeyDelayLabel,modules/modules/client_options/game.otui,34,:ref:`modules-modules-client-options-game-otui-l34-hotkeydelaylabel-a16ca0f269`
hotkeyDelay,modules/modules/client_options/game.otui,42,:ref:`modules-modules-client-options-game-otui-l42-hotkeydelay-f5d45deb14`
walkFirstStepDelayLabel,modules/modules/client_options/game.otui,48,:ref:`modules-modules-client-options-game-otui-l48-walkfirststepdelayl-0a97d30e96`
walkFirstStepDelay,modules/modules/client_options/game.otui,58,:ref:`modules-modules-client-options-game-otui-l58-walkfirststepdelay-5e51dfa9d9`
walkTurnDelayLabel,modules/modules/client_options/game.otui,67,:ref:`modules-modules-client-options-game-otui-l67-walkturndelaylabel-7d85741854`
walkTurnDelay,modules/modules/client_options/game.otui,77,:ref:`modules-modules-client-options-game-otui-l77-walkturndelay-f373a1f192`
walkCtrlTurnDelayLabel,modules/modules/client_options/game.otui,86,:ref:`modules-modules-client-options-game-otui-l86-walkctrlturndelayla-599227d8ef`
walkCtrlTurnDelay,modules/modules/client_options/game.otui,95,:ref:`modules-modules-client-options-game-otui-l95-walkctrlturndelay-3001f6c6ee`
walkStairsDelayLabel,modules/modules/client_options/game.otui,103,:ref:`modules-modules-client-options-game-otui-l103-walkstairsdelaylab-f6e8038476`
walkStairsDelay,modules/modules/client_options/game.otui,112,:ref:`modules-modules-client-options-game-otui-l112-walkstairsdelay-b0490477f2`
walkTeleportDelayLabel,modules/modules/client_options/game.otui,120,:ref:`modules-modules-client-options-game-otui-l120-walkteleportdelayl-ae38bd7fad`
walkTeleportDelay,modules/modules/client_options/game.otui,129,:ref:`modules-modules-client-options-game-otui-l129-walkteleportdelay-77735dd397`
nan,modules/modules/client_options/game.otui,137,:ref:`modules-modules-client-options-game-otui-l137-nan-14dbb31f66`
changeLocale,modules/modules/client_options/game.otui,141,:ref:`modules-modules-client-options-game-otui-l141-changelocale-a3afbdb6c1`
nan,modules/modules/client_options/graphics.otui,1,:ref:`modules-modules-client-options-graphics-otui-l1-nan-67abad1559`
nan,modules/modules/client_options/graphics.otui,2,:ref:`modules-modules-client-options-graphics-otui-l2-nan-d766e5f86e`
nan,modules/modules/client_options/graphics.otui,7,:ref:`modules-modules-client-options-graphics-otui-l7-nan-60f09b089b`
separator,modules/modules/client_options/graphics.otui,12,:ref:`modules-modules-client-options-graphics-otui-l12-separator-97f9b893a4`
vsync,modules/modules/client_options/graphics.otui,16,:ref:`modules-modules-client-options-graphics-otui-l16-vsync-616eec252b`
showFps,modules/modules/client_options/graphics.otui,21,:ref:`modules-modules-client-options-graphics-otui-l21-showfps-36d05913a6`
enableLights,modules/modules/client_options/graphics.otui,25,:ref:`modules-modules-client-options-graphics-otui-l25-enablelights-cd21e6a6b3`
fullscreen,modules/modules/client_options/graphics.otui,29,:ref:`modules-modules-client-options-graphics-otui-l29-fullscreen-05432522cd`
antialiasing,modules/modules/client_options/graphics.otui,34,:ref:`modules-modules-client-options-graphics-otui-l34-antialiasing-79b05d4688`
optimizationLevelLabel,modules/modules/client_options/graphics.otui,38,:ref:`modules-modules-client-options-graphics-otui-l38-optimizationlev-8630946f6a`
optimizationLevel,modules/modules/client_options/graphics.otui,43,:ref:`modules-modules-client-options-graphics-otui-l43-optimizationlev-c417202968`
nan,modules/modules/client_options/graphics.otui,57,:ref:`modules-modules-client-options-graphics-otui-l57-nan-f4c3f94435`
backgroundFrameRateLabel,modules/modules/client_options/graphics.otui,61,:ref:`modules-modules-client-options-graphics-otui-l61-backgroundframe-d47025fde5`
nan,modules/modules/client_options/graphics.otui,70,:ref:`modules-modules-client-options-graphics-otui-l70-nan-f8a491156e`
backgroundFrameRate,modules/modules/client_options/graphics.otui,73,:ref:`modules-modules-client-options-graphics-otui-l73-backgroundframe-a828173d2d`
ambientLightLabel,modules/modules/client_options/graphics.otui,79,:ref:`modules-modules-client-options-graphics-otui-l79-ambientlightlab-4b09dd19dd`
ambientLight,modules/modules/client_options/graphics.otui,86,:ref:`modules-modules-client-options-graphics-otui-l86-ambientlight-80b9208a18`
tips,modules/modules/client_options/graphics.otui,92,:ref:`modules-modules-client-options-graphics-otui-l92-tips-362fb0a52a`
nan,modules/modules/client_options/interface.otui,1,:ref:`modules-modules-client-options-interface-otui-l1-nan-a35a165884`
layoutLabel,modules/modules/client_options/interface.otui,2,:ref:`modules-modules-client-options-interface-otui-l2-layoutlabel-f1e2bb5363`
layout,modules/modules/client_options/interface.otui,9,:ref:`modules-modules-client-options-interface-otui-l9-layout-9beef7f9b0`
nan,modules/modules/client_options/interface.otui,22,:ref:`modules-modules-client-options-interface-otui-l22-nan-357c92cca4`
nan,modules/modules/client_options/interface.otui,23,:ref:`modules-modules-client-options-interface-otui-l23-nan-7f81a921c7`
classicView,modules/modules/client_options/interface.otui,25,:ref:`modules-modules-client-options-interface-otui-l25-classicview-3679c86c7f`
cacheMap,modules/modules/client_options/interface.otui,33,:ref:`modules-modules-client-options-interface-otui-l33-cachemap-7332e713e9`
showPing,modules/modules/client_options/interface.otui,40,:ref:`modules-modules-client-options-interface-otui-l40-showping-b07d999a61`
displayNames,modules/modules/client_options/interface.otui,45,:ref:`modules-modules-client-options-interface-otui-l45-displaynames-1a1c8d830b`
displayHealth,modules/modules/client_options/interface.otui,49,:ref:`modules-modules-client-options-interface-otui-l49-displayhealth-ae4a863283`
displayHealthOnTop,modules/modules/client_options/interface.otui,53,:ref:`modules-modules-client-options-interface-otui-l53-displayhealtho-3fd4ae46a6`
hidePlayerBars,modules/modules/client_options/interface.otui,59,:ref:`modules-modules-client-options-interface-otui-l59-hideplayerbars-8e9c1f302a`
displayMana,modules/modules/client_options/interface.otui,63,:ref:`modules-modules-client-options-interface-otui-l63-displaymana-462f35c19e`
highlightThingsUnderCursor,modules/modules/client_options/interface.otui,69,:ref:`modules-modules-client-options-interface-otui-l69-highlightthing-1f858f100f`
nan,modules/modules/client_options/interface.otui,73,:ref:`modules-modules-client-options-interface-otui-l73-nan-bc47fc1474`
leftPanelsLabel,modules/modules/client_options/interface.otui,77,:ref:`modules-modules-client-options-interface-otui-l77-leftpanelslabe-7e99b6dfdb`
rightPanelsLabel,modules/modules/client_options/interface.otui,84,:ref:`modules-modules-client-options-interface-otui-l84-rightpanelslab-da1713650d`
backpackPanelLabel,modules/modules/client_options/interface.otui,91,:ref:`modules-modules-client-options-interface-otui-l91-backpackpanell-b9da139367`
leftPanels,modules/modules/client_options/interface.otui,99,:ref:`modules-modules-client-options-interface-otui-l99-leftpanels-8a5ba809a4`
rightPanels,modules/modules/client_options/interface.otui,114,:ref:`modules-modules-client-options-interface-otui-l114-rightpanels-df9845695c`
containerPanel,modules/modules/client_options/interface.otui,128,:ref:`modules-modules-client-options-interface-otui-l128-containerpane-0dfe9e42f8`
crosshairLabel,modules/modules/client_options/interface.otui,145,:ref:`modules-modules-client-options-interface-otui-l145-crosshairlabe-bd529ad1b3`
crosshair,modules/modules/client_options/interface.otui,150,:ref:`modules-modules-client-options-interface-otui-l150-crosshair-9921cbfa70`
floorFadingLabel,modules/modules/client_options/interface.otui,161,:ref:`modules-modules-client-options-interface-otui-l161-floorfadingla-06849d0497`
floorFading,modules/modules/client_options/interface.otui,168,:ref:`modules-modules-client-options-interface-otui-l168-floorfading-423747dada`
floorFadingLabel2,modules/modules/client_options/interface.otui,174,:ref:`modules-modules-client-options-interface-otui-l174-floorfadingla-51f9b04f7e`
nan,modules/modules/client_options/options.otui,1,:ref:`modules-modules-client-options-options-otui-l1-nan-c060207d75`
nan,modules/modules/client_options/options.otui,8,:ref:`modules-modules-client-options-options-otui-l8-nan-30ba966462`
nan,modules/modules/client_options/options.otui,12,:ref:`modules-modules-client-options-options-otui-l12-nan-45beaab1be`
optionsWindow,modules/modules/client_options/options.otui,16,:ref:`modules-modules-client-options-options-otui-l16-optionswindow-ad3bb8b7b0`
optionsTabBar,modules/modules/client_options/options.otui,26,:ref:`modules-modules-client-options-options-otui-l26-optionstabbar-1ffbb4535a`
