widget_or_type,file,line,anchor
nan,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,427,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-attackbot-a514d4e1e3`
profileName,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,436,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-attackbot-e5c9b1ca9c`
resetSettings,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,445,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-attackbot-6cc376dc3f`
IgnoreMana,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,452,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-attackbot-3dd41fead8`
Kills,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,460,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-attackbot-478cfcca53`
KillsAmount,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,471,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-attackbot-6b4debd265`
Rotate,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,483,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-attackbot-e4117329a0`
Cooldown,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,491,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-attackbot-97435fbd4f`
Visible,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,499,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-attackbot-e573652b37`
PvpMode,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,507,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-attackbot-b7d799a1a2`
PvpSafe,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,515,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-attackbot-ca3d41bccf`
Training,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,523,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-attackbot-5516a7751a`
BlackListSafe,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,531,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-attackbot-f9db6ebe6b`
AntiRsRange,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,540,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-attackbot-17a9e96e17`
nan,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,552,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-attackbot-eaf5f16f29`
mainLabel,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,558,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-attackbot-434969916a`
settingsPanel,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,570,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-attackbot-d774af977b`
settingsLabel,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,577,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-attackbot-6de10e4bbf`
mainPanel,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,586,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-attackbot-db8ce26b66`
shooterLabel,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,594,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-attackbot-3df8bdd7a4`
nan,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,604,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-attackbot-46e88bb29d`
closeButton,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,610,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-attackbot-6953f2876c`
settings,modules/modules/game_bot/default_configs/vBot_4.7/vBot/AttackBot.otui,618,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-attackbot-35e7b39b5a`
nan,modules/modules/game_bot/default_configs/vBot_4.7/vBot/BotServer.otui,1,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-botserver-7211f141c9`
label,modules/modules/game_bot/default_configs/vBot_4.7/vBot/BotServer.otui,7,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-botserver-2cb8322be0`
label,modules/modules/game_bot/default_configs/vBot_4.7/vBot/BotServer.otui,15,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-botserver-3050c94ef4`
Channel,modules/modules/game_bot/default_configs/vBot_4.7/vBot/BotServer.otui,24,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-botserver-9e595658a1`
Random,modules/modules/game_bot/default_configs/vBot_4.7/vBot/BotServer.otui,33,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-botserver-c5d762651c`
label,modules/modules/game_bot/default_configs/vBot_4.7/vBot/BotServer.otui,43,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-botserver-095383bcab`
ServerStatus,modules/modules/game_bot/default_configs/vBot_4.7/vBot/BotServer.otui,52,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-botserver-b91febe8da`
Participants,modules/modules/game_bot/default_configs/vBot_4.7/vBot/BotServer.otui,61,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-botserver-65643f6abc`
Members,modules/modules/game_bot/default_configs/vBot_4.7/vBot/BotServer.otui,69,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-botserver-f1afcf1d38`
nan,modules/modules/game_bot/default_configs/vBot_4.7/vBot/BotServer.otui,77,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-botserver-6971ce9813`
title,modules/modules/game_bot/default_configs/vBot_4.7/vBot/BotServer.otui,83,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-botserver-81cc0f8960`
sep,modules/modules/game_bot/default_configs/vBot_4.7/vBot/BotServer.otui,90,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-botserver-7a12b93bc2`
Feature1,modules/modules/game_bot/default_configs/vBot_4.7/vBot/BotServer.otui,97,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-botserver-79b6590839`
Feature2,modules/modules/game_bot/default_configs/vBot_4.7/vBot/BotServer.otui,105,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-botserver-2d87225177`
Feature3,modules/modules/game_bot/default_configs/vBot_4.7/vBot/BotServer.otui,113,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-botserver-e06ce2e617`
Feature4,modules/modules/game_bot/default_configs/vBot_4.7/vBot/BotServer.otui,121,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-botserver-430ce9dcb1`
Feature5,modules/modules/game_bot/default_configs/vBot_4.7/vBot/BotServer.otui,129,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-botserver-165409db1e`
broadcastText,modules/modules/game_bot/default_configs/vBot_4.7/vBot/BotServer.otui,138,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-botserver-7715cabd0c`
Broadcast,modules/modules/game_bot/default_configs/vBot_4.7/vBot/BotServer.otui,147,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-botserver-ce1209bb0d`
nan,modules/modules/game_bot/default_configs/vBot_4.7/vBot/BotServer.otui,157,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-botserver-896f30a3a4`
Data,modules/modules/game_bot/default_configs/vBot_4.7/vBot/BotServer.otui,162,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-botserver-be9a593a9f`
Features,modules/modules/game_bot/default_configs/vBot_4.7/vBot/BotServer.otui,167,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-botserver-f9a18c5eba`
separator,modules/modules/game_bot/default_configs/vBot_4.7/vBot/BotServer.otui,173,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-botserver-bf02633fe4`
closeButton,modules/modules/game_bot/default_configs/vBot_4.7/vBot/BotServer.otui,180,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-botserver-d1cd3a270b`
nan,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,1,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-dfb26990b9`
nan,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,2,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-b7ff3c2a13`
nan,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,3,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-485155ac6c`
nan,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,8,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-3edccbc926`
nan,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,9,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-ce482aefce`
nan,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,10,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-6e58b6eca7`
trigger,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,17,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-efd9d1e476`
triggerLabel1,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,24,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-2c567422d4`
leaderLabel,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,33,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-828fe77212`
onSayLeader,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,40,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-0bd8094233`
phrase,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,49,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-af6966215c`
onSayPhrase,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,56,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-146c503908`
onSayToggle,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,65,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-5e94b46992`
triggerLabel2,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,72,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-b17f8ae4e9`
leaderLabel1,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,80,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-9b35727bb7`
onShootLeader,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,87,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-0203fa527e`
onShootToggle,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,97,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-48376226ae`
triggerLabel3,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,104,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-d5d0ff7d63`
leaderLabel2,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,112,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-877983dc39`
onCastLeader,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,119,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-d5f26d3361`
onCastToggle,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,129,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-06cbde53a4`
actions,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,136,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-3a7ece5cc7`
label1,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,143,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-487644dd8a`
followLeader,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,153,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-4921cead50`
followLeaderToggle,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,162,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-191c984118`
label2,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,169,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-d842ee8888`
attackLeaderTarget,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,177,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-01e9f51072`
attackLeaderTargetToggle,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,186,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-d454cf282d`
label3,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,193,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-8413a5287c`
attackSpell,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,201,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-72d40399a6`
attackSpellToggle,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,211,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-ea4f8f9fef`
label4,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,218,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-305dcd32c7`
attackItem,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,226,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-516adbc72c`
attackItemToggle,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,232,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-9b6098a333`
commandsToggle,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,238,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-b90a9581b4`
server,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,249,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-4f54ea518e`
labelX,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,256,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-a2c36cdc97`
botServerLeader,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,266,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-33c41b1044`
partyButton,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,276,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-734c8ac1e8`
botServerToggle,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,286,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-b0b667e27c`
targetServerLeaderToggle,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,297,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-16edc9e1da`
Triggers,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,306,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-3824d04b37`
nan,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,317,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-36c818619a`
trigger,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,322,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-351a819994`
title,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,328,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-b6bbcc9f2a`
actions,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,336,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-a48fc9beff`
title,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,342,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-9cdda46e7d`
server,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,351,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-977bd97562`
title,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,357,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-f6a2bca36d`
separator,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,366,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-48bfe665de`
closeButton,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,373,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-3b59465477`
toolsButton,modules/modules/game_bot/default_configs/vBot_4.7/vBot/combo.otui,383,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-combo-otu-7806a176b7`
nan,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,1,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-a76aaa6368`
nan,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,2,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-9b5933e705`
nan,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,3,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-55383f2fd0`
Cure,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,8,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-8e0d65302d`
label1,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,15,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-04e4ef63c6`
label11,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,25,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-07b98d44d3`
PoisonCost,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,33,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-1177fa0a7c`
CurePoison,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,41,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-c00e6c8367`
label2,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,47,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-1ede0501b7`
label22,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,56,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-fae44e2e81`
CurseCost,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,64,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-d93619ebc5`
CureCurse,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,72,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-861df4fd33`
label3,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,78,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-712053e560`
label33,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,87,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-0f6fee33e1`
BleedCost,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,95,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-681a286e7c`
CureBleed,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,103,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-b9face30a9`
label4,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,109,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-2c18bf8ba9`
label44,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,118,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-c5042aed32`
BurnCost,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,126,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-a8ccfb3ea1`
CureBurn,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,134,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-03555a6ebe`
label5,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,140,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-dc2194fcab`
label55,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,149,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-625c817f49`
ElectrifyCost,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,157,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-07904d6233`
CureElectrify,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,165,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-46b171ebd5`
label6,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,171,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-c322418b71`
label66,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,180,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-a36ec92230`
ParalyseCost,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,188,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-bc865b3b90`
CureParalyse,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,196,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-5fecbeb0f8`
label7,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,202,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-28d2df4ea9`
ParalyseSpell,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,211,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-9871ba1216`
Hold,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,219,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-66e7e3d1c0`
label1,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,226,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-8382020f21`
label11,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,236,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-3437412ee1`
HasteCost,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,244,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-5185a7f839`
HoldHaste,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,252,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-31cec14bd9`
label2,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,258,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-0c890c471c`
HasteSpell,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,267,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-f491e4bc34`
label3,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,275,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-271c210d74`
label33,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,284,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-6945f570fc`
UtanaCost,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,292,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-58ec2b6c99`
HoldUtana,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,300,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-9ccdbe80a7`
label4,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,306,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-e03197639a`
label44,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,315,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-5ba496a073`
UtamoCost,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,323,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-fb52a2a2e6`
HoldUtamo,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,331,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-8d6cea93d1`
label5,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,337,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-20fd7ff08d`
label55,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,346,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-c721436360`
UturaCost,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,354,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-efbcaea94b`
HoldUtura,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,362,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-5dca1a0d08`
label6,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,368,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-56abcdd2c3`
UturaType,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,377,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-155a4aea94`
IgnoreInPz,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,385,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-a858949cd6`
nan,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,391,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-f34065eea6`
StopHaste,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,399,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-6484ef5f65`
nan,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,405,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-b1e964151a`
nan,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,413,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-a8c7452484`
Cure,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,418,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-71c9b521a6`
label,modules/modules/game_bot/default_configs/vBot_4.7/vBot/Conditions.otui,424,:ref:`modules-modules-game-bot-default-configs-vbot-4-7-vbot-condition-36a8699a11`
